,n_val_samples,spearman_train,spearman_val,eval
0,278,0.8094717662687231,0.12036949635995216,extrapolate
1,233,0.8085599868360958,0.28859978687967175,extrapolate
2,196,0.8034022206665498,0.14437640376297353,extrapolate
3,247,0.7980621804245456,0.38411151618289985,extrapolate
4,209,0.8059342230383231,0.258894078151123,extrapolate
5,255,0.7841347062192421,-0.008585071636951963,extrapolate
6,250,0.7916672626527258,0.3614048332568147,extrapolate
7,148,0.7983656051499438,0.6304256286027422,extrapolate
8,153,0.7972669029510362,0.5323218886882328,extrapolate
9,290,0.7690736534576742,0.3167712704853821,extrapolate
10,264,0.8027020483144398,0.22433761188619633,extrapolate
11,187,0.7985472798389074,0.46660246725884086,extrapolate
12,224,0.7986728983918308,0.5131817492681983,extrapolate
13,256,0.7940968265162056,0.3887130025498966,extrapolate
14,225,0.7981731631164257,0.46943909270886247,extrapolate
15,291,0.803834193510531,0.24197657057362099,extrapolate
0,232,0.8012374169366423,0.6516764256756712,random
1,232,0.7971216989322139,0.7219831319435385,random
2,232,0.7992422311347968,0.7262519205114172,random
3,232,0.7998785183233265,0.6912309405495437,random
4,232,0.7947701024333478,0.8004066973405544,random
5,232,0.8018163697825997,0.690049532627476,random
6,232,0.7963176325318956,0.7881036194345815,random
7,232,0.7986914449825482,0.725276103426189,random
8,232,0.7994343542318125,0.7329725875331833,random
9,232,0.7940311493544309,0.8163696190816571,random
10,231,0.7980865584295573,0.6926657117863146,random
11,231,0.799006785476996,0.6922665415344488,random
12,231,0.7938056224165694,0.8072566762401787,random
13,231,0.8017336017140524,0.6487270712935584,random
14,231,0.7965995757975791,0.7337392511972423,random
15,231,0.7984271798498253,0.7360830508250125,random
