,dataset,model,fold,structural_characteristic,is_member,spearman,mae
56,A2RQE2_9CELL,Residue agnostic regressor,4,is_buried,1,0.6138028610910293,0.15555687973040241
57,A2RQE2_9CELL,Partial least squares,4,is_buried,1,0.6178292043434749,0.18743826167853042
58,A2RQE2_9CELL,Augmented Potts,4,is_buried,1,0.5660152578443514,0.16632313335215076
59,A2RQE2_9CELL,RITA regressor,4,is_buried,1,0.23167746285420956,0.21809082939351082
60,A2RQE2_9CELL,Residue agnostic regressor,5,is_buried,1,0.5481919702319182,0.17113388813336675
61,A2RQE2_9CELL,Partial least squares,5,is_buried,1,0.5465861778566142,0.20311005769078241
62,A2RQE2_9CELL,Augmented Potts,5,is_buried,1,0.658402664028343,0.17287239557732648
63,A2RQE2_9CELL,RITA regressor,5,is_buried,1,0.26827701074954613,0.23354897194994023
64,A2RQE2_9CELL,Residue agnostic regressor,6,is_buried,1,0.5694772920837667,0.15330572612301846
65,A2RQE2_9CELL,Partial least squares,6,is_buried,1,0.5724915426794548,0.1981627939814237
66,A2RQE2_9CELL,Augmented Potts,6,is_buried,1,0.667784890803679,0.15249164518299282
67,A2RQE2_9CELL,RITA regressor,6,is_buried,1,0.31071112148868674,0.23230395479820512
68,A2RQE2_9CELL,Residue agnostic regressor,7,is_buried,1,0.6463011821947064,0.16258088813972016
69,A2RQE2_9CELL,Partial least squares,7,is_buried,1,0.6455766466154814,0.2020379255604287
70,A2RQE2_9CELL,Augmented Potts,7,is_buried,1,0.5909846942108248,0.17028444526505868
71,A2RQE2_9CELL,RITA regressor,7,is_buried,1,0.33380726607189554,0.24135022705704928
72,A2RQE2_9CELL,Residue agnostic regressor,8,is_buried,1,0.5339233915597759,0.1943022980873765
73,A2RQE2_9CELL,Partial least squares,8,is_buried,1,0.5339362680692321,0.22609834057436007
74,A2RQE2_9CELL,Augmented Potts,8,is_buried,1,0.5371456166819165,0.21610617124936154
75,A2RQE2_9CELL,RITA regressor,8,is_buried,1,0.28515440235168155,0.25738866749445266
76,A2RQE2_9CELL,Residue agnostic regressor,9,is_buried,1,0.5599125975980694,0.17421923912620152
77,A2RQE2_9CELL,Partial least squares,9,is_buried,1,0.5597238313632269,0.21912172629160417
78,A2RQE2_9CELL,Augmented Potts,9,is_buried,1,0.6483095115676228,0.1819360353909992
79,A2RQE2_9CELL,RITA regressor,9,is_buried,1,0.4203049037443987,0.23417852253230426
80,A2RQE2_9CELL,Residue agnostic regressor,0,is_connected,0,0.7375775288938482,0.20044598606579567
81,A2RQE2_9CELL,Partial least squares,0,is_connected,0,0.7373411858092482,0.26389410402156505
82,A2RQE2_9CELL,Augmented Potts,0,is_connected,0,0.7620709758346005,0.20319114826303963
83,A2RQE2_9CELL,RITA regressor,0,is_connected,0,0.537338131106459,0.28838064086424864
84,A2RQE2_9CELL,Residue agnostic regressor,1,is_connected,0,0.8004913157225243,0.19968644623932144
85,A2RQE2_9CELL,Partial least squares,1,is_connected,0,0.8021422416914576,0.28268495526187803
86,A2RQE2_9CELL,Augmented Potts,1,is_connected,0,0.7861163633520631,0.21842960170514342
87,A2RQE2_9CELL,RITA regressor,1,is_connected,0,0.5190477093218925,0.31390866515805343
88,A2RQE2_9CELL,Residue agnostic regressor,2,is_connected,0,0.7529909277317149,0.203704645987653
89,A2RQE2_9CELL,Partial least squares,2,is_connected,0,0.7526609320797011,0.2671017156317185
90,A2RQE2_9CELL,Augmented Potts,2,is_connected,0,0.7636068399641286,0.2188322670220711
91,A2RQE2_9CELL,RITA regressor,2,is_connected,0,0.4596608595540962,0.3172591868540731
92,A2RQE2_9CELL,Residue agnostic regressor,3,is_connected,0,0.8178318357291258,0.1804375014184726
93,A2RQE2_9CELL,Partial least squares,3,is_connected,0,0.8182558298633179,0.2509811334753644
94,A2RQE2_9CELL,Augmented Potts,3,is_connected,0,0.7537056198304751,0.20380336004616728
95,A2RQE2_9CELL,RITA regressor,3,is_connected,0,0.5560104545250051,0.2818671038058158
96,A2RQE2_9CELL,Residue agnostic regressor,4,is_connected,0,0.7763561605904435,0.19377488359293626
