,dataset,model,fold,lambda_value,spearman
74,AMY_BACSU/singles,RITA regressor,8,0.1,0.5804950823479977
75,AMY_BACSU/singles,RITA regressor,8,0.9,0.5391582280530341
76,AMY_BACSU/singles,RITA regressor,9,0.001,0.4296743029941901
77,AMY_BACSU/singles,RITA regressor,9,0.01,0.515721337627232
78,AMY_BACSU/singles,RITA regressor,9,0.1,0.5398356626080418
79,AMY_BACSU/singles,RITA regressor,9,0.9,0.5289292512337488
80,A2RQE2_9CELL,RITA regressor,0,0.001,0.7091912656728507
81,A2RQE2_9CELL,RITA regressor,0,0.01,0.7616479033252942
82,A2RQE2_9CELL,RITA regressor,0,0.1,0.7919090092257003
83,A2RQE2_9CELL,RITA regressor,0,0.9,0.7744791036822691
84,A2RQE2_9CELL,RITA regressor,1,0.001,0.7056218942106832
85,A2RQE2_9CELL,RITA regressor,1,0.01,0.7975730723066121
86,A2RQE2_9CELL,RITA regressor,1,0.1,0.8352897812043794
87,A2RQE2_9CELL,RITA regressor,1,0.9,0.8075489270780117
88,A2RQE2_9CELL,RITA regressor,2,0.001,0.6684462137230494
89,A2RQE2_9CELL,RITA regressor,2,0.01,0.7979036677792996
90,A2RQE2_9CELL,RITA regressor,2,0.1,0.8364899478111623
91,A2RQE2_9CELL,RITA regressor,2,0.9,0.8055924276690427
92,A2RQE2_9CELL,RITA regressor,3,0.001,0.631703851559003
93,A2RQE2_9CELL,RITA regressor,3,0.01,0.7221898705983123
94,A2RQE2_9CELL,RITA regressor,3,0.1,0.7704122129379081
95,A2RQE2_9CELL,RITA regressor,3,0.9,0.7444517876162264
96,A2RQE2_9CELL,RITA regressor,4,0.001,0.7092145409638562
97,A2RQE2_9CELL,RITA regressor,4,0.01,0.7725049232417537
98,A2RQE2_9CELL,RITA regressor,4,0.1,0.7998791875416574
99,A2RQE2_9CELL,RITA regressor,4,0.9,0.7554735957946829
100,A2RQE2_9CELL,RITA regressor,5,0.001,0.6706583946912198
101,A2RQE2_9CELL,RITA regressor,5,0.01,0.7746394084057893
102,A2RQE2_9CELL,RITA regressor,5,0.1,0.8072809489838816
103,A2RQE2_9CELL,RITA regressor,5,0.9,0.7655491542038803
104,A2RQE2_9CELL,RITA regressor,6,0.001,0.6504458113671681
105,A2RQE2_9CELL,RITA regressor,6,0.01,0.754777118270611
106,A2RQE2_9CELL,RITA regressor,6,0.1,0.7852652375309447
107,A2RQE2_9CELL,RITA regressor,6,0.9,0.771709168750999
108,A2RQE2_9CELL,RITA regressor,7,0.001,0.6615637317067814
109,A2RQE2_9CELL,RITA regressor,7,0.01,0.7846865576375949
110,A2RQE2_9CELL,RITA regressor,7,0.1,0.8003601475182206
111,A2RQE2_9CELL,RITA regressor,7,0.9,0.7836114043085651
112,A2RQE2_9CELL,RITA regressor,8,0.001,0.6683237507079655
113,A2RQE2_9CELL,RITA regressor,8,0.01,0.7681344002736599
114,A2RQE2_9CELL,RITA regressor,8,0.1,0.8042533188600565
115,A2RQE2_9CELL,RITA regressor,8,0.9,0.7791750776704985
116,A2RQE2_9CELL,RITA regressor,9,0.001,0.6803708732878503
117,A2RQE2_9CELL,RITA regressor,9,0.01,0.7985061937775788
118,A2RQE2_9CELL,RITA regressor,9,0.1,0.8200423400345854
119,A2RQE2_9CELL,RITA regressor,9,0.9,0.7793506461463269
120,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,0,0.001,0.48064680417621597
121,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,0,0.01,0.5993560103467224
122,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,0,0.1,0.6335089059547263
123,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,0,0.9,0.5988266119845067
124,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,1,0.001,0.5443708609271523
125,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,1,0.01,0.6085744161728824
126,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,1,0.1,0.6148483792262112
127,CASP3_HUMAN_Roychowdhury_2020,RITA regressor,1,0.9,0.6132485186476123
