,dataset,model,fold,lambda_value,spearman
72,AMY_BACSU/singles,Augmented Potts,8,0.001,0.5894699420065281
73,AMY_BACSU/singles,Augmented Potts,8,0.01,0.5895379598173163
74,AMY_BACSU/singles,Augmented Potts,8,0.1,0.589751537984305
75,AMY_BACSU/singles,Augmented Potts,8,0.9,0.5898238559326369
76,AMY_BACSU/singles,Augmented Potts,9,0.001,0.547126640956374
77,AMY_BACSU/singles,Augmented Potts,9,0.01,0.5473126867669754
78,AMY_BACSU/singles,Augmented Potts,9,0.1,0.5473827326191308
79,AMY_BACSU/singles,Augmented Potts,9,0.9,0.5472503790397605
80,A2RQE2_9CELL,Augmented Potts,0,0.001,0.7664740007842502
81,A2RQE2_9CELL,Augmented Potts,0,0.01,0.7664740007842502
82,A2RQE2_9CELL,Augmented Potts,0,0.1,0.7665245735492645
83,A2RQE2_9CELL,Augmented Potts,0,0.9,0.7658581299955796
84,A2RQE2_9CELL,Augmented Potts,1,0.001,0.8066903814429257
85,A2RQE2_9CELL,Augmented Potts,1,0.01,0.8066903814429257
86,A2RQE2_9CELL,Augmented Potts,1,0.1,0.8067191887849312
87,A2RQE2_9CELL,Augmented Potts,1,0.9,0.8067109581157869
88,A2RQE2_9CELL,Augmented Potts,2,0.001,0.8210431975162029
89,A2RQE2_9CELL,Augmented Potts,2,0.01,0.821129435899258
90,A2RQE2_9CELL,Augmented Potts,2,0.1,0.8211574128997811
91,A2RQE2_9CELL,Augmented Potts,2,0.9,0.8211023241667925
92,A2RQE2_9CELL,Augmented Potts,3,0.001,0.7812363736721121
93,A2RQE2_9CELL,Augmented Potts,3,0.01,0.7812363736721121
94,A2RQE2_9CELL,Augmented Potts,3,0.1,0.781177148899976
95,A2RQE2_9CELL,Augmented Potts,3,0.9,0.78152794178109
96,A2RQE2_9CELL,Augmented Potts,4,0.001,0.8073650352917612
97,A2RQE2_9CELL,Augmented Potts,4,0.01,0.8073624162942692
98,A2RQE2_9CELL,Augmented Potts,4,0.1,0.8073870348706937
99,A2RQE2_9CELL,Augmented Potts,4,0.9,0.8072526802993559
100,A2RQE2_9CELL,Augmented Potts,5,0.001,0.7696490277305799
101,A2RQE2_9CELL,Augmented Potts,5,0.01,0.7696490277305799
102,A2RQE2_9CELL,Augmented Potts,5,0.1,0.7696900405084696
103,A2RQE2_9CELL,Augmented Potts,5,0.9,0.7696878819412123
104,A2RQE2_9CELL,Augmented Potts,6,0.001,0.8114078189507475
105,A2RQE2_9CELL,Augmented Potts,6,0.01,0.8114078189507475
106,A2RQE2_9CELL,Augmented Potts,6,0.1,0.8113218550888737
107,A2RQE2_9CELL,Augmented Potts,6,0.9,0.8118511669990348
108,A2RQE2_9CELL,Augmented Potts,7,0.001,0.7876137727648066
109,A2RQE2_9CELL,Augmented Potts,7,0.01,0.7877130841819958
110,A2RQE2_9CELL,Augmented Potts,7,0.1,0.7877655631248585
111,A2RQE2_9CELL,Augmented Potts,7,0.9,0.7880053719650277
112,A2RQE2_9CELL,Augmented Potts,8,0.001,0.8103222656611555
113,A2RQE2_9CELL,Augmented Potts,8,0.01,0.8102850171157839
114,A2RQE2_9CELL,Augmented Potts,8,0.1,0.8101972940922637
115,A2RQE2_9CELL,Augmented Potts,8,0.9,0.8105435975974218
116,A2RQE2_9CELL,Augmented Potts,9,0.001,0.7887733115396021
117,A2RQE2_9CELL,Augmented Potts,9,0.01,0.7887733115396021
118,A2RQE2_9CELL,Augmented Potts,9,0.1,0.7887357275987947
119,A2RQE2_9CELL,Augmented Potts,9,0.9,0.7889230778491821
120,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,0,0.001,0.6454639271976732
121,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,0,0.01,0.6465428276573787
122,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,0,0.1,0.6506975996140082
123,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,0,0.9,0.652925763606878
124,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,1,0.001,0.7130846985012199
125,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,1,0.01,0.7105263157894736
126,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,1,0.1,0.7081422098292087
127,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,1,0.9,0.70831648658069
128,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,2,0.001,0.7238974441667338
129,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,2,0.01,0.7224492833619658
130,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,2,0.1,0.7215220883285061
131,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,2,0.9,0.7229082293985947
132,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,3,0.001,0.5661670411449452
133,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,3,0.01,0.5605993072278618
134,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,3,0.1,0.5572738792653633
135,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,3,0.9,0.5562759466288588
136,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,4,0.001,0.6503493524847154
137,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,4,0.01,0.646138563555074
138,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,4,0.1,0.6473251297996985
139,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,4,0.9,0.6501759312643471
140,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,5,0.001,0.6165986279046184
141,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,5,0.01,0.6128323227749437
142,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,5,0.1,0.609957478721673
143,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,5,0.9,0.6081038056897856
144,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,6,0.001,0.582640047043853
145,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,6,0.01,0.5683186642630601
146,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,6,0.1,0.5616129871882622
147,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,6,0.9,0.5704819102889148
148,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,7,0.001,0.5569758655940265
149,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,7,0.01,0.5485346015378462
150,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,7,0.1,0.5455122449886662
151,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,7,0.9,0.5431370283123694
152,CASP3_HUMAN_Roychowdhury_2020,Augmented Potts,8,0.001,0.6840014691279093
