,dataset,model,fold,structural_characteristic,is_member,spearman
74,AMY_BACSU,Augmented Potts,8,is_buried,1,0.6059952840157079
75,AMY_BACSU,RITA regressor,8,is_buried,1,0.43412829337196424
76,AMY_BACSU,Residue agnostic regressor,9,is_buried,1,0.5703109379480394
77,AMY_BACSU,Partial least squares,9,is_buried,1,0.5696725827493855
78,AMY_BACSU,Augmented Potts,9,is_buried,1,0.6136418235208377
79,AMY_BACSU,RITA regressor,9,is_buried,1,0.38503344825358754
80,AMY_BACSU,Residue agnostic regressor,0,is_connected,0,0.5257990622994074
81,AMY_BACSU,Partial least squares,0,is_connected,0,0.5252971538465402
82,AMY_BACSU,Augmented Potts,0,is_connected,0,0.5102532626894722
83,AMY_BACSU,RITA regressor,0,is_connected,0,0.338783301006601
84,AMY_BACSU,Residue agnostic regressor,1,is_connected,0,0.5287023089644519
85,AMY_BACSU,Partial least squares,1,is_connected,0,0.5280711017479436
86,AMY_BACSU,Augmented Potts,1,is_connected,0,0.493943861454847
87,AMY_BACSU,RITA regressor,1,is_connected,0,0.3533221273966339
88,AMY_BACSU,Residue agnostic regressor,2,is_connected,0,0.563592805383666
89,AMY_BACSU,Partial least squares,2,is_connected,0,0.5630799348514348
90,AMY_BACSU,Augmented Potts,2,is_connected,0,0.5232045312789463
91,AMY_BACSU,RITA regressor,2,is_connected,0,0.3656003436747609
92,AMY_BACSU,Residue agnostic regressor,3,is_connected,0,0.5591572248543735
93,AMY_BACSU,Partial least squares,3,is_connected,0,0.4395709161081859
94,AMY_BACSU,Augmented Potts,3,is_connected,0,0.5262407834323914
95,AMY_BACSU,RITA regressor,3,is_connected,0,0.38815067485525123
96,AMY_BACSU,Residue agnostic regressor,4,is_connected,0,0.5396091277065801
97,AMY_BACSU,Partial least squares,4,is_connected,0,0.5392908581443935
98,AMY_BACSU,Augmented Potts,4,is_connected,0,0.4834645142716169
99,AMY_BACSU,RITA regressor,4,is_connected,0,0.31644905546676644
100,AMY_BACSU,Residue agnostic regressor,5,is_connected,0,0.4738832424368555
101,AMY_BACSU,Partial least squares,5,is_connected,0,0.4059179199718985
102,AMY_BACSU,Augmented Potts,5,is_connected,0,0.40972083427265765
103,AMY_BACSU,RITA regressor,5,is_connected,0,0.2502030373076806
104,AMY_BACSU,Residue agnostic regressor,6,is_connected,0,0.6072974678377556
105,AMY_BACSU,Partial least squares,6,is_connected,0,0.6071405991445901
106,AMY_BACSU,Augmented Potts,6,is_connected,0,0.5469903502990322
107,AMY_BACSU,RITA regressor,6,is_connected,0,0.3511490125234169
108,AMY_BACSU,Residue agnostic regressor,7,is_connected,0,0.486802306102115
109,AMY_BACSU,Partial least squares,7,is_connected,0,0.4870478411230723
110,AMY_BACSU,Augmented Potts,7,is_connected,0,0.4701943534467576
111,AMY_BACSU,RITA regressor,7,is_connected,0,0.40491086707855645
112,AMY_BACSU,Residue agnostic regressor,8,is_connected,0,0.5512028306189064
113,AMY_BACSU,Partial least squares,8,is_connected,0,0.5509474920624042
114,AMY_BACSU,Augmented Potts,8,is_connected,0,0.48155145718198833
115,AMY_BACSU,RITA regressor,8,is_connected,0,0.32074335441724877
116,AMY_BACSU,Residue agnostic regressor,9,is_connected,0,0.5633077907193735
117,AMY_BACSU,Partial least squares,9,is_connected,0,0.5633842980304243
118,AMY_BACSU,Augmented Potts,9,is_connected,0,0.5032595651840336
119,AMY_BACSU,RITA regressor,9,is_connected,0,0.34243689018732104
120,AMY_BACSU,Residue agnostic regressor,0,is_connected,1,0.4825310698330527
121,AMY_BACSU,Partial least squares,0,is_connected,1,0.4816933335461044
122,AMY_BACSU,Augmented Potts,0,is_connected,1,0.5645271650384447
123,AMY_BACSU,RITA regressor,0,is_connected,1,0.36044753504953275
124,AMY_BACSU,Residue agnostic regressor,1,is_connected,1,0.46751591811775095
125,AMY_BACSU,Partial least squares,1,is_connected,1,0.46726988348848514
126,AMY_BACSU,Augmented Potts,1,is_connected,1,0.5392552550096664
127,AMY_BACSU,RITA regressor,1,is_connected,1,0.2786884502929973
128,AMY_BACSU,Residue agnostic regressor,2,is_connected,1,0.5127097582017949
129,AMY_BACSU,Partial least squares,2,is_connected,1,0.5115914562627139
130,AMY_BACSU,Augmented Potts,2,is_connected,1,0.5596035940849161
131,AMY_BACSU,RITA regressor,2,is_connected,1,0.34267978704136426
