,n_val_samples,spearman_train,spearman_val,eval
0,278,0.7487753312904457,0.09201857926548997,extrapolate
1,233,0.7460262813965097,0.14811812394297255,extrapolate
2,196,0.737633669772444,0.39647968163011965,extrapolate
3,247,0.7287297949393216,0.4966995714107717,extrapolate
4,209,0.7413094483633741,0.12137549473628281,extrapolate
5,255,0.7216898542559047,-0.05353538496946239,extrapolate
6,250,0.7303539703310369,0.1960306037654265,extrapolate
7,148,0.7342804182724352,0.33844280144697175,extrapolate
8,153,0.7331036381916096,0.18123075479828718,extrapolate
9,290,0.7052524590905482,0.08237539951412494,extrapolate
10,264,0.7445999721359359,0.14041171998289706,extrapolate
11,187,0.7351126465445293,0.119826560663022,extrapolate
12,224,0.7330560348726023,0.5138143579220725,extrapolate
13,256,0.732749975260317,0.3831932809178129,extrapolate
14,225,0.7341559714503069,0.13577188128420073,extrapolate
15,291,0.7394686253354437,0.08182938671133809,extrapolate
0,232,0.7356552380157296,0.6461914879920567,random
1,232,0.7336056044167605,0.6606661453218562,random
2,232,0.7346295083529782,0.641316289893166,random
3,232,0.7349875371303511,0.6382357852208708,random
4,232,0.7305230050061969,0.7542822985993629,random
5,232,0.7357187171865261,0.6398999401057925,random
6,232,0.7317570702713564,0.7134431185778108,random
7,232,0.7339266115378832,0.684934455697177,random
8,232,0.7338520021557078,0.6900011844420536,random
9,232,0.7301567250567667,0.731132528782788,random
10,231,0.7321298325322991,0.6644320669606,random
11,231,0.7330775208803545,0.6970879967912958,random
12,231,0.726939598248265,0.7799279239033368,random
13,231,0.7350529177132784,0.6367418126457061,random
14,231,0.7298617404534673,0.7190344032314469,random
15,231,0.7317783601629305,0.702015448634204,random
